Name;11Konzentration;12InnereBalance;13GuteNacht;14SchlafteeMagenempfindliche;15GuteNachtstark;21Herzallgemein;22Kreislauf;23StarkeDurchblutungsstörung;24HoherBlutdruck;25NiedrigerBlutdruck;26Anämie;27Hämorrhoiden;28Detox1;31Durchatmen;32Bronchialasthma;33Bronchitis,Schleim;34TrockenerHusten;35Kopfdampfbad;36Gurgeltee;41Basentee;42Vitalität;43Kopfgut;44Schilddrüseniedr.Blutdruck;45Schilddrüsehoh.Blutdruck;46Schilddrüsenunterfunktion;47GrippeFieber;51WasserMarsch;52Nierenentz.;53Blasenschwäche;54Blasenentz.Reizblase;55Sitzbad;61Gastritis;610Diabatesniedr.Blutdruck;611Diabetes;612DiabetesTyp1;613Leibumschlag;62MagenBauchspeichelDarm;63Lebergut;64Galle;65TrägeVerdauung;66KrampfartigeVerstopfung;67Detox2;68Meteorismus;69Durchfall;71Rheuma;72Arthrose;73Gicht;74Rückenstark;76Arnika+EnzianEinreibung;81Hautschön;82Hautausschlag;84Schuppenflechte;85Haarausfall;86Hautwaschung;91Wechseljahre;92PMS;93Schwangerschaft;94Stillen;95Augenstark;96Augenbad;Galke
Fenchel;12,6;0;15,1;16,2;13,5;0;0;0;0;0;0;14;14,9;0;13,9;12,6;14,6;0;0;0;0;0;0;0;14,4;0;0;0;0;0;0;13;0;0;14,1;0;15,1;14,6;14,6;15,9;11,4;0;12,6;0;0;14,7;0;0;0;13,7;15,5;15,2;0;0;0;0;0;12,9;0;0;812901
Frauenmantelkraut;0;0;0;0;0;0;0;0;7,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,7;16,3;0;8,4;0;0;0;813802
Gänsefingerkraut;7,1;7,5;0;9,2;0;0;0;0;0;0;0;0;0;0;0;0;8,3;0;0;0;4;0;0;0;0;0;0;8,5;7,8;0;0;7,4;0;0;0;8,8;0;0;0;9;6,4;0;7,1;8,2;0;0;0;0;0;0;0;0;0;0;0;6,8;8,4;7,3;0;0;814802
Goldrutenkraut;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;8,5;7,8;8,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,8;8,8;816002
Grünhafer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,3;0;0;0;0;0;0;818002
Gundermannkraut;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,9;0;8,3;0;0;0;4;0;0;0;8,1;0;0;8,5;7,8;8,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,7;0;0;0;0;0;0;817102
Hagebuttenschalen;0;14,5;16,6;17,8;14,9;0;0;0;13,8;0;0;0;0;0;0;0;0;0;0;0;7,9;14;13;13,8;0;14,8;0;16,4;15,1;0;0;14,3;0;0;0;0;0;0;0;0;12,5;0;0;0;0;0;0;0;0;0;0;0;15,9;0;0;13,3;0;14,2;0;0;818105
Hauhechelwurzel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,4;0;13,8;0;0;0;0;0;0;13,7;0;0;0;0;0;0;0;0;0;0;0;14,7;14,9;0;0;0;0;0;0;0;0;0;0;0;15,5;15,5;817702
Herzgespannkraut;7,1;7,5;0;0;7,7;8,2;0;7,1;7,1;8,2;0;0;0;0;0;0;0;0;0;0;0;0;6,7;7,1;8,1;0;0;0;0;0;0;0;8,3;0;0;0;0;0;0;0;6,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,4;0;0;0;817402
Hirtentäschelkraut;0;0;0;0;0;0;0;0;0;8,2;7,4;7,9;0;0;0;0;0;0;0;0;4;0;6,7;0;0;0;7,8;8,5;0;0;0;0;8,3;0;8;0;0;0;0;0;0;0;7,1;8,2;0;0;0;0;0;0;0;0;8,2;0;0;6,8;8,4;0;0;0;818702
